beneficiary_id,beneficiary_name,age,gender,occupation,bpl_status,program_id,program_name,category,state,district,enrollment_date,enrollment_status,outcome_achieved,source,age_group,is_completed,is_bpl,is_female,days_enrolled,gender_enc,category_enc,state_enc,status_enc
BEN5019,Anjali Agarwal,23,Female,Small Trader,Yes,PROG1001,Shiksha Shakti Abhiyan,Education,Punjab,Punj District 1,2023-10-21,Active,Literacy Achieved,NITI Aayog SDG Index / NGO Darpan Program Reports,Youth(15-25),0,1,1,438,0,1,9,0
BEN5020,Arvind Das,42,Female,Weaver,No,PROG1001,Shiksha Shakti Abhiyan,Education,Punjab,Punj District 1,2023-07-04,Completed,Enrolled in School,NITI Aayog SDG Index / NGO Darpan Program Reports,Adult(26-45),1,0,1,547,0,1,9,1
BEN5021,Savita Naidu,32,Female,Student,Yes,PROG1001,Shiksha Shakti Abhiyan,Education,Punjab,Punj District 1,2023-07-11,Completed,Dropout Returned,NITI Aayog SDG Index / NGO Darpan Program Reports,Adult(26-45),1,1,1,540,0,1,9,1
BEN5022,Suresh Agarwal,59,Female,Small Trader,Yes,PROG1001,Shiksha Shakti Abhiyan,Education,Punjab,Punj District 1,2023-06-05,Completed,Dropout Returned,NITI Aayog SDG Index / NGO Darpan Program Reports,Middle-Aged(46-60),1,1,1,576,0,1,9,1
BEN5023,Anjali Gupta,60,Female,Artisan,No,PROG1001,Shiksha Shakti Abhiyan,Education,Punjab,Punj District 1,2023-03-18,Active,Literacy Achieved,NITI Aayog SDG Index / NGO Darpan Program Reports,Middle-Aged(46-60),0,0,1,655,0,1,9,0
BEN5024,Vikas Pillai,59,Male,Farmer,Yes,PROG1002,Digital Disha,Education,Tamil Nadu,Tami District 9,2019-05-20,Active,Enrolled in School,NITI Aayog SDG Index / NGO Darpan Program Reports,Middle-Aged(46-60),0,1,0,2053,1,1,11,0
BEN5025,Deepa Patel,66,Female,Daily Wage Worker,No,PROG1002,Digital Disha,Education,Tamil Nadu,Tami District 9,2019-06-28,Active,Enrolled in School,NITI Aayog SDG Index / NGO Darpan Program Reports,Senior(60+),0,0,1,2014,0,1,11,0
BEN5026,Rajesh Mishra,59,Male,Weaver,Yes,PROG1002,Digital Disha,Education,Tamil Nadu,Tami District 9,2019-10-22,Completed,Enrolled in School,NITI Aayog SDG Index / NGO Darpan Program Reports,Middle-Aged(46-60),1,1,0,1898,1,1,11,1
BEN5027,Rekha Sharma,28,Female,Small Trader,Yes,PROG1002,Digital Disha,Education,Tamil Nadu,Tami District 9,2019-06-12,Active,Scholarship Received,NITI Aayog SDG Index / NGO Darpan Program Reports,Adult(26-45),0,1,1,2030,0,1,11,0
BEN5028,Lakshmi Gupta,23,Male,Farmer,Yes,PROG1002,Digital Disha,Education,Tamil Nadu,Tami District 9,2019-02-24,Active,Dropout Returned,NITI Aayog SDG Index / NGO Darpan Program Reports,Youth(15-25),0,1,0,2138,1,1,11,0
BEN5029,Asha Kumar,52,Female,Artisan,Yes,PROG1002,Digital Disha,Education,Tamil Nadu,Tami District 9,2019-10-20,Active,Enrolled in School,NITI Aayog SDG Index / NGO Darpan Program Reports,Middle-Aged(46-60),0,1,1,1900,0,1,11,0
BEN5030,Mala Verma,15,Female,Student,Yes,PROG1002,Digital Disha,Education,Tamil Nadu,Tami District 9,2019-11-14,Active,Dropout Returned,NITI Aayog SDG Index / NGO Darpan Program Reports,Youth(15-25),0,1,1,1875,0,1,11,0
BEN5031,Deepa Das,19,Female,Daily Wage Worker,Yes,PROG1002,Digital Disha,Education,Tamil Nadu,Tami District 9,2019-05-22,Completed,Dropout Returned,NITI Aayog SDG Index / NGO Darpan Program Reports,Youth(15-25),1,1,1,2051,0,1,11,1
BEN5032,Usha Verma,33,Female,Weaver,No,PROG1002,Digital Disha,Education,Tamil Nadu,Tami District 9,2019-01-01,Active,Scholarship Received,NITI Aayog SDG Index / NGO Darpan Program Reports,Adult(26-45),0,0,1,2192,0,1,11,0
BEN5033,Anil Tiwari,46,Female,Domestic Worker,Yes,PROG1002,Digital Disha,Education,Tamil Nadu,Tami District 9,2019-12-14,Active,Dropout Returned,NITI Aayog SDG Index / NGO Darpan Program Reports,Middle-Aged(46-60),0,1,1,1845,0,1,11,0
BEN5034,Rohit Das,50,Female,Farmer,No,PROG1002,Digital Disha,Education,Tamil Nadu,Tami District 9,2019-07-01,Active,Enrolled in School,NITI Aayog SDG Index / NGO Darpan Program Reports,Middle-Aged(46-60),0,0,1,2011,0,1,11,0
BEN5035,Rajesh Nair,56,Male,Unemployed,Yes,PROG1002,Digital Disha,Education,Tamil Nadu,Tami District 9,2019-05-04,Active,Literacy Achieved,NITI Aayog SDG Index / NGO Darpan Program Reports,Middle-Aged(46-60),0,1,0,2069,1,1,11,0
BEN5036,Mala Shah,51,Female,Daily Wage Worker,Yes,PROG1002,Digital Disha,Education,Tamil Nadu,Tami District 9,2019-04-14,Active,Enrolled in School,NITI Aayog SDG Index / NGO Darpan Program Reports,Middle-Aged(46-60),0,1,1,2089,0,1,11,0
BEN5037,Usha Naidu,48,Female,Housewife,No,PROG1002,Digital Disha,Education,Tamil Nadu,Tami District 9,2019-02-17,Completed,Scholarship Received,NITI Aayog SDG Index / NGO Darpan Program Reports,Middle-Aged(46-60),1,0,1,2145,0,1,11,1
BEN5038,Vikas Mehta,23,Female,Housewife,No,PROG1002,Digital Disha,Education,Tamil Nadu,Tami District 9,2019-05-07,Active,Scholarship Received,NITI Aayog SDG Index / NGO Darpan Program Reports,Youth(15-25),0,0,1,2066,0,1,11,0
BEN5039,Vijay Kumar,68,Female,Weaver,No,PROG1002,Digital Disha,Education,Tamil Nadu,Tami District 9,2019-10-15,Completed,Literacy Achieved,NITI Aayog SDG Index / NGO Darpan Program Reports,Senior(60+),1,0,1,1905,0,1,11,1
BEN5040,Kiran Patel,61,Female,Domestic Worker,Yes,PROG1002,Digital Disha,Education,Tamil Nadu,Tami District 9,2019-11-10,Completed,Enrolled in School,NITI Aayog SDG Index / NGO Darpan Program Reports,Senior(60+),1,1,1,1879,0,1,11,1
BEN5041,Vijay Tiwari,64,Female,Farmer,Yes,PROG1002,Digital Disha,Education,Tamil Nadu,Tami District 9,2019-06-27,Active,Enrolled in School,NITI Aayog SDG Index / NGO Darpan Program Reports,Senior(60+),0,1,1,2015,0,1,11,0
BEN5042,Ramesh Shah,75,Male,Farmer,Yes,PROG1003,Bal Gyan Kendra,Education,Haryana,Hary District 10,2018-08-26,Active,Scholarship Received,NITI Aayog SDG Index / NGO Darpan Program Reports,Senior(60+),0,1,0,2320,1,1,3,0
BEN5043,Mohan Das,24,Male,Domestic Worker,No,PROG1003,Bal Gyan Kendra,Education,Haryana,Hary District 10,2018-02-26,Completed,Literacy Achieved,NITI Aayog SDG Index / NGO Darpan Program Reports,Youth(15-25),1,0,0,2501,1,1,3,1
BEN5044,Anjali Das,27,Female,Domestic Worker,Yes,PROG1003,Bal Gyan Kendra,Education,Haryana,Hary District 10,2018-08-17,Active,Scholarship Received,NITI Aayog SDG Index / NGO Darpan Program Reports,Adult(26-45),0,1,1,2329,0,1,3,0
BEN5045,Manoj Reddy,57,Male,Weaver,Yes,PROG1003,Bal Gyan Kendra,Education,Haryana,Hary District 10,2018-01-26,Completed,Literacy Achieved,NITI Aayog SDG Index / NGO Darpan Program Reports,Middle-Aged(46-60),1,1,0,2532,1,1,3,1
BEN5046,Suresh Chopra,54,Female,Weaver,No,PROG1003,Bal Gyan Kendra,Education,Haryana,Hary District 10,2018-03-11,Active,Scholarship Received,NITI Aayog SDG Index / NGO Darpan Program Reports,Middle-Aged(46-60),0,0,1,2488,0,1,3,0
BEN5047,Usha Rao,55,Female,Daily Wage Worker,No,PROG1003,Bal Gyan Kendra,Education,Haryana,Hary District 10,2018-05-18,Active,Literacy Achieved,NITI Aayog SDG Index / NGO Darpan Program Reports,Middle-Aged(46-60),0,0,1,2420,0,1,3,0
BEN5048,Kamala Gupta,59,Female,Farmer,Yes,PROG1003,Bal Gyan Kendra,Education,Haryana,Hary District 10,2018-06-10,Active,Scholarship Received,NITI Aayog SDG Index / NGO Darpan Program Reports,Middle-Aged(46-60),0,1,1,2397,0,1,3,0
BEN5049,Sita Joshi,33,Other,Housewife,Yes,PROG1003,Bal Gyan Kendra,Education,Haryana,Hary District 10,2018-02-10,Completed,Enrolled in School,NITI Aayog SDG Index / NGO Darpan Program Reports,Adult(26-45),1,1,0,2517,2,1,3,1
BEN5050,Sunil Naidu,72,Female,Artisan,Yes,PROG1003,Bal Gyan Kendra,Education,Haryana,Hary District 10,2018-10-05,Active,Scholarship Received,NITI Aayog SDG Index / NGO Darpan Program Reports,Senior(60+),0,1,1,2280,0,1,3,0
BEN5051,Mala Kumar,61,Female,Artisan,Yes,PROG1003,Bal Gyan Kendra,Education,Haryana,Hary District 10,2018-11-24,Active,Dropout Returned,NITI Aayog SDG Index / NGO Darpan Program Reports,Senior(60+),0,1,1,2230,0,1,3,0
BEN5052,Ajay Mishra,73,Female,Domestic Worker,Yes,PROG1003,Bal Gyan Kendra,Education,Haryana,Hary District 10,2018-04-12,Completed,Dropout Returned,NITI Aayog SDG Index / NGO Darpan Program Reports,Senior(60+),1,1,1,2456,0,1,3,1
BEN5053,Manoj Reddy,69,Male,Housewife,Yes,PROG1003,Bal Gyan Kendra,Education,Haryana,Hary District 10,2018-04-26,Completed,Literacy Achieved,NITI Aayog SDG Index / NGO Darpan Program Reports,Senior(60+),1,1,0,2442,1,1,3,1
BEN5054,Mohan Mehta,75,Male,Fisherman,Yes,PROG1003,Bal Gyan Kendra,Education,Haryana,Hary District 10,2018-02-10,Active,Scholarship Received,NITI Aayog SDG Index / NGO Darpan Program Reports,Senior(60+),0,1,0,2517,1,1,3,0
BEN5055,Dinesh Patel,60,Female,Student,Yes,PROG1003,Bal Gyan Kendra,Education,Haryana,Hary District 10,2018-08-12,Dropped,Discontinued,NITI Aayog SDG Index / NGO Darpan Program Reports,Middle-Aged(46-60),0,1,1,2334,0,1,3,2
BEN5056,Lakshmi Das,52,Female,Daily Wage Worker,No,PROG1003,Bal Gyan Kendra,Education,Haryana,Hary District 10,2018-06-08,Active,Enrolled in School,NITI Aayog SDG Index / NGO Darpan Program Reports,Middle-Aged(46-60),0,0,1,2399,0,1,3,0
BEN5057,Asha Patel,22,Female,Domestic Worker,Yes,PROG1003,Bal Gyan Kendra,Education,Haryana,Hary District 10,2018-12-27,Active,Dropout Returned,NITI Aayog SDG Index / NGO Darpan Program Reports,Youth(15-25),0,1,1,2197,0,1,3,0
BEN5058,Amit Gupta,7,Female,Student,Yes,PROG1003,Bal Gyan Kendra,Education,Haryana,Hary District 10,2018-03-18,Dropped,Discontinued,NITI Aayog SDG Index / NGO Darpan Program Reports,Child(0-14),0,1,1,2481,0,1,3,2
BEN5059,Seema Singh,41,Female,Daily Wage Worker,Yes,PROG1003,Bal Gyan Kendra,Education,Haryana,Hary District 10,2018-01-08,Active,Dropout Returned,NITI Aayog SDG Index / NGO Darpan Program Reports,Adult(26-45),0,1,1,2550,0,1,3,0
BEN5060,Sita Pandey,73,Female,Fisherman,Yes,PROG1003,Bal Gyan Kendra,Education,Haryana,Hary District 10,2018-10-08,Completed,Literacy Achieved,NITI Aayog SDG Index / NGO Darpan Program Reports,Senior(60+),1,1,1,2277,0,1,3,1
BEN5061,Mala Mehta,35,Male,Housewife,Yes,PROG1003,Bal Gyan Kendra,Education,Haryana,Hary District 10,2018-11-22,Active,Literacy Achieved,NITI Aayog SDG Index / NGO Darpan Program Reports,Adult(26-45),0,1,0,2232,1,1,3,0
BEN5062,Kamala Chopra,69,Male,Fisherman,Yes,PROG1003,Bal Gyan Kendra,Education,Haryana,Hary District 10,2018-09-01,Active,Dropout Returned,NITI Aayog SDG Index / NGO Darpan Program Reports,Senior(60+),0,1,0,2314,1,1,3,0
BEN5063,Smita Yadav,7,Female,Student,No,PROG1004,Bal Gyan Kendra,Education,Jharkhand,Jhar District 12,2018-02-12,Active,Enrolled in School,NITI Aayog SDG Index / NGO Darpan Program Reports,Child(0-14),0,0,1,2515,0,1,4,0
BEN5064,Asha Patel,10,Female,Student,No,PROG1004,Bal Gyan Kendra,Education,Jharkhand,Jhar District 12,2018-06-27,Completed,Dropout Returned,NITI Aayog SDG Index / NGO Darpan Program Reports,Child(0-14),1,0,1,2380,0,1,4,1
BEN5065,Mohan Rao,28,Male,Daily Wage Worker,Yes,PROG1004,Bal Gyan Kendra,Education,Jharkhand,Jhar District 12,2018-12-25,Dropped,Discontinued,NITI Aayog SDG Index / NGO Darpan Program Reports,Adult(26-45),0,1,0,2199,1,1,4,2
BEN5066,Sanjay Verma,30,Male,Artisan,Yes,PROG1004,Bal Gyan Kendra,Education,Jharkhand,Jhar District 12,2018-05-17,Active,Dropout Returned,NITI Aayog SDG Index / NGO Darpan Program Reports,Adult(26-45),0,1,0,2421,1,1,4,0
BEN5067,Sanjay Tiwari,50,Male,Farmer,Yes,PROG1004,Bal Gyan Kendra,Education,Jharkhand,Jhar District 12,2018-11-11,Active,Literacy Achieved,NITI Aayog SDG Index / NGO Darpan Program Reports,Middle-Aged(46-60),0,1,0,2243,1,1,4,0
BEN5068,Lakshmi Naidu,61,Male,Unemployed,Yes,PROG1004,Bal Gyan Kendra,Education,Jharkhand,Jhar District 12,2018-06-06,Active,Dropout Returned,NITI Aayog SDG Index / NGO Darpan Program Reports,Senior(60+),0,1,0,2401,1,1,4,0
BEN5069,Kamala Yadav,15,Male,Student,Yes,PROG1004,Bal Gyan Kendra,Education,Jharkhand,Jhar District 12,2018-02-14,Completed,Scholarship Received,NITI Aayog SDG Index / NGO Darpan Program Reports,Youth(15-25),1,1,0,2513,1,1,4,1
BEN5070,Kiran Singh,15,Female,Student,Yes,PROG1004,Bal Gyan Kendra,Education,Jharkhand,Jhar District 12,2018-05-10,Active,Dropout Returned,NITI Aayog SDG Index / NGO Darpan Program Reports,Youth(15-25),0,1,1,2428,0,1,4,0
BEN5071,Ajay Mehta,62,Female,Artisan,Yes,PROG1004,Bal Gyan Kendra,Education,Jharkhand,Jhar District 12,2018-10-14,Active,Enrolled in School,NITI Aayog SDG Index / NGO Darpan Program Reports,Senior(60+),0,1,1,2271,0,1,4,0
BEN5072,Lakshmi Mehta,70,Male,Housewife,Yes,PROG1004,Bal Gyan Kendra,Education,Jharkhand,Jhar District 12,2018-01-05,Completed,Dropout Returned,NITI Aayog SDG Index / NGO Darpan Program Reports,Senior(60+),1,1,0,2553,1,1,4,1
BEN5073,Vijay Mishra,51,Female,Weaver,No,PROG1004,Bal Gyan Kendra,Education,Jharkhand,Jhar District 12,2018-01-20,Active,Dropout Returned,NITI Aayog SDG Index / NGO Darpan Program Reports,Middle-Aged(46-60),0,0,1,2538,0,1,4,0
BEN5074,Smita Shah,14,Male,Student,Yes,PROG1004,Bal Gyan Kendra,Education,Jharkhand,Jhar District 12,2018-09-12,Active,Literacy Achieved,NITI Aayog SDG Index / NGO Darpan Program Reports,Child(0-14),0,1,0,2303,1,1,4,0
BEN5075,Kavya Sharma,28,Female,Unemployed,No,PROG1004,Bal Gyan Kendra,Education,Jharkhand,Jhar District 12,2018-09-04,Active,Literacy Achieved,NITI Aayog SDG Index / NGO Darpan Program Reports,Adult(26-45),0,0,1,2311,0,1,4,0
BEN5076,Deepa Pandey,41,Male,Domestic Worker,Yes,PROG1004,Bal Gyan Kendra,Education,Jharkhand,Jhar District 12,2018-04-04,Active,Enrolled in School,NITI Aayog SDG Index / NGO Darpan Program Reports,Adult(26-45),0,1,0,2464,1,1,4,0
BEN5077,Ajay Gupta,45,Male,Daily Wage Worker,No,PROG1004,Bal Gyan Kendra,Education,Jharkhand,Jhar District 12,2018-09-18,Active,Literacy Achieved,NITI Aayog SDG Index / NGO Darpan Program Reports,Adult(26-45),0,0,0,2297,1,1,4,0
BEN5078,Meena Mehta,70,Female,Student,Yes,PROG1004,Bal Gyan Kendra,Education,Jharkhand,Jhar District 12,2018-03-08,Completed,Enrolled in School,NITI Aayog SDG Index / NGO Darpan Program Reports,Senior(60+),1,1,1,2491,0,1,4,1
BEN5079,Rajesh Mehta,64,Male,Fisherman,Yes,PROG1004,Bal Gyan Kendra,Education,Jharkhand,Jhar District 12,2018-03-20,Completed,Enrolled in School,NITI Aayog SDG Index / NGO Darpan Program Reports,Senior(60+),1,1,0,2479,1,1,4,1
BEN5080,Mohan Das,57,Male,Weaver,Yes,PROG1005,Bal Gyan Kendra,Education,Rajasthan,Raja District 11,2023-02-05,Dropped,Discontinued,NITI Aayog SDG Index / NGO Darpan Program Reports,Middle-Aged(46-60),0,1,0,696,1,1,10,2
BEN5081,Ajay Shah,71,Female,Fisherman,Yes,PROG1005,Bal Gyan Kendra,Education,Rajasthan,Raja District 11,2023-11-19,Active,Scholarship Received,NITI Aayog SDG Index / NGO Darpan Program Reports,Senior(60+),0,1,1,409,0,1,10,0
BEN5082,Sunita Singh,71,Female,Housewife,Yes,PROG1005,Bal Gyan Kendra,Education,Rajasthan,Raja District 11,2023-03-11,Dropped,Discontinued,NITI Aayog SDG Index / NGO Darpan Program Reports,Senior(60+),0,1,1,662,0,1,10,2
BEN5083,Kamala Tiwari,15,Female,Student,Yes,PROG1005,Bal Gyan Kendra,Education,Rajasthan,Raja District 11,2023-11-18,Active,Literacy Achieved,NITI Aayog SDG Index / NGO Darpan Program Reports,Youth(15-25),0,1,1,410,0,1,10,0
BEN5084,Anjali Das,26,Male,Weaver,No,PROG1005,Bal Gyan Kendra,Education,Rajasthan,Raja District 11,2023-03-06,Completed,Literacy Achieved,NITI Aayog SDG Index / NGO Darpan Program Reports,Adult(26-45),1,0,0,667,1,1,10,1
BEN5085,Rajesh Verma,8,Female,Student,No,PROG1005,Bal Gyan Kendra,Education,Rajasthan,Raja District 11,2023-11-25,Active,Scholarship Received,NITI Aayog SDG Index / NGO Darpan Program Reports,Child(0-14),0,0,1,403,0,1,10,0
BEN5086,Prakash Pandey,8,Female,Student,Yes,PROG1005,Bal Gyan Kendra,Education,Rajasthan,Raja District 11,2023-11-18,Active,Literacy Achieved,NITI Aayog SDG Index / NGO Darpan Program Reports,Child(0-14),0,1,1,410,0,1,10,0
BEN5087,Lakshmi Tiwari,63,Female,Farmer,Yes,PROG1005,Bal Gyan Kendra,Education,Rajasthan,Raja District 11,2023-03-15,Active,Dropout Returned,NITI Aayog SDG Index / NGO Darpan Program Reports,Senior(60+),0,1,1,658,0,1,10,0
BEN5088,Arvind Patel,45,Male,Artisan,Yes,PROG1005,Bal Gyan Kendra,Education,Rajasthan,Raja District 11,2023-12-28,Active,Dropout Returned,NITI Aayog SDG Index / NGO Darpan Program Reports,Adult(26-45),0,1,0,370,1,1,10,0
BEN5089,Smita Das,18,Female,Domestic Worker,Yes,PROG1005,Bal Gyan Kendra,Education,Rajasthan,Raja District 11,2023-02-09,Active,Scholarship Received,NITI Aayog SDG Index / NGO Darpan Program Reports,Youth(15-25),0,1,1,692,0,1,10,0
BEN5090,Manoj Reddy,58,Female,Housewife,No,PROG1005,Bal Gyan Kendra,Education,Rajasthan,Raja District 11,2023-06-19,Completed,Scholarship Received,NITI Aayog SDG Index / NGO Darpan Program Reports,Middle-Aged(46-60),1,0,1,562,0,1,10,1
BEN5091,Sita Das,64,Female,Small Trader,Yes,PROG1005,Bal Gyan Kendra,Education,Rajasthan,Raja District 11,2023-08-01,Active,Dropout Returned,NITI Aayog SDG Index / NGO Darpan Program Reports,Senior(60+),0,1,1,519,0,1,10,0
BEN5092,Nisha Joshi,50,Female,Small Trader,Yes,PROG1005,Bal Gyan Kendra,Education,Rajasthan,Raja District 11,2023-08-20,Completed,Dropout Returned,NITI Aayog SDG Index / NGO Darpan Program Reports,Middle-Aged(46-60),1,1,1,500,0,1,10,1
BEN5093,Amit Singh,60,Female,Small Trader,Yes,PROG1005,Bal Gyan Kendra,Education,Rajasthan,Raja District 11,2023-12-12,Completed,Literacy Achieved,NITI Aayog SDG Index / NGO Darpan Program Reports,Middle-Aged(46-60),1,1,1,386,0,1,10,1
BEN5094,Sunita Dubey,29,Female,Small Trader,No,PROG1005,Bal Gyan Kendra,Education,Rajasthan,Raja District 11,2023-02-13,Active,Literacy Achieved,NITI Aayog SDG Index / NGO Darpan Program Reports,Adult(26-45),0,0,1,688,0,1,10,0
BEN5095,Mala Pillai,20,Female,Daily Wage Worker,Yes,PROG1005,Bal Gyan Kendra,Education,Rajasthan,Raja District 11,2023-07-12,Completed,Literacy Achieved,NITI Aayog SDG Index / NGO Darpan Program Reports,Youth(15-25),1,1,1,539,0,1,10,1
BEN5096,Smita Patel,30,Male,Unemployed,No,PROG1005,Bal Gyan Kendra,Education,Rajasthan,Raja District 11,2023-09-02,Active,Scholarship Received,NITI Aayog SDG Index / NGO Darpan Program Reports,Adult(26-45),0,0,0,487,1,1,10,0
BEN5097,Mohan Das,63,Female,Fisherman,Yes,PROG1005,Bal Gyan Kendra,Education,Rajasthan,Raja District 11,2023-03-11,Dropped,Discontinued,NITI Aayog SDG Index / NGO Darpan Program Reports,Senior(60+),0,1,1,662,0,1,10,2
BEN5098,Lakshmi Pandey,43,Male,Fisherman,Yes,PROG1005,Bal Gyan Kendra,Education,Rajasthan,Raja District 11,2023-09-18,Active,Literacy Achieved,NITI Aayog SDG Index / NGO Darpan Program Reports,Adult(26-45),0,1,0,471,1,1,10,0
BEN5099,Priya Mehta,47,Male,Unemployed,Yes,PROG1005,Bal Gyan Kendra,Education,Rajasthan,Raja District 11,2023-10-10,Completed,Enrolled in School,NITI Aayog SDG Index / NGO Darpan Program Reports,Middle-Aged(46-60),1,1,0,449,1,1,10,1
BEN5100,Anil Rao,34,Male,Weaver,Yes,PROG1005,Bal Gyan Kendra,Education,Rajasthan,Raja District 11,2023-08-06,Active,Dropout Returned,NITI Aayog SDG Index / NGO Darpan Program Reports,Adult(26-45),0,1,0,514,1,1,10,0
BEN5101,Nisha Verma,19,Female,Domestic Worker,Yes,PROG1005,Bal Gyan Kendra,Education,Rajasthan,Raja District 11,2023-06-14,Active,Scholarship Received,NITI Aayog SDG Index / NGO Darpan Program Reports,Youth(15-25),0,1,1,567,0,1,10,0
BEN5102,Mala Banerjee,12,Male,Student,Yes,PROG1005,Bal Gyan Kendra,Education,Rajasthan,Raja District 11,2023-09-07,Active,Dropout Returned,NITI Aayog SDG Index / NGO Darpan Program Reports,Child(0-14),0,1,0,482,1,1,10,0
BEN5103,Kiran Kumar,63,Male,Artisan,Yes,PROG1005,Bal Gyan Kendra,Education,Rajasthan,Raja District 11,2023-09-12,Completed,Literacy Achieved,NITI Aayog SDG Index / NGO Darpan Program Reports,Senior(60+),1,1,0,477,1,1,10,1
